Time id,Generator Name,Generator Id,Dispatched Energy,Unit Status,Ramp Down Rate (MW/h),Ramp Up Rate (MW/h),Max Capacity,Minimum Capacity,Demand
0,Cabot,2,10.3,1.0,4.12,4.12,10.3,3.09,24435
0,Cabot,3,10.3,1.0,4.12,4.12,10.3,3.09,24435
0,Cabot,4,10.3,1.0,4.12,4.12,10.3,3.09,24435
0,Cabot,5,10.3,1.0,4.12,4.12,10.3,3.09,24435
0,Cabot,6,10.3,1.0,4.12,4.12,10.3,3.09,24435
0,Cobble Mountain,1,13.0,1.0,5.2,5.2,13.0,3.9,24435
0,Cobble Mountain,2,7.0,1.0,2.8,2.8,7.0,2.1,24435
0,Cobble Mountain,3,13.0,1.0,5.2,5.2,13.0,3.9,24435
0,Gardners Falls,GF2,0.4,1.0,0.16,0.16,0.4,0.12,24435
0,Gardners Falls,GF3,0.9,1.0,0.36,0.36,0.9,0.27,24435
0,Gardners Falls,GF4,0.9,1.0,0.36,0.36,0.9,0.27,24435
0,Gardners Falls,GF5,1.3,1.0,0.52,0.52,1.3,0.39,24435
0,Putts Bridge,PB2,1.6,1.0,0.64,0.64,1.6,0.48,24435
0,Putts Bridge,PB3,1.6,1.0,0.64,0.64,1.6,0.48,24435
0,Redbridge,RB3,1.8,1.0,0.72,0.72,1.8,0.54,24435
0,Redbridge,RB4,1.8,1.0,0.72,0.72,1.8,0.54,24435
0,Potter Station 2,WAT1,58.0,1.0,23.2,23.2,58.0,17.4,24435
0,Potter Station 2,WAT2,58.0,1.0,23.2,23.2,58.0,17.4,24435
0,High Street Station,1,0.48,1.0,0.48,0.48,1.2,0.36,24435
0,High Street Station,10,0.48,1.0,0.48,0.48,1.2,0.36,24435
0,High Street Station,11,0.0,0.0,0.48,0.48,1.2,0.36,24435
0,High Street Station,12,0.48,1.0,0.48,0.48,1.2,0.36,24435
0,High Street Station,2,0.52,1.0,0.52,0.52,1.3,0.39,24435
0,High Street Station,6,1.1,1.0,0.44,0.44,1.1,0.33,24435
0,High Street Station,7,0.52,1.0,0.52,0.52,1.3,0.39,24435
0,High Street Station,8,1.1,1.0,0.44,0.44,1.1,0.33,24435
0,High Street Station,9,0.52,1.0,0.52,0.52,1.3,0.39,24435
0,Waters River,1,8.520000000000001,1.0,8.52,8.52,21.3,6.39,24435
